Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
LAC,Lithium Americas,TSX,Canada,USA,Nevada,Developer,Thacker Pass Li brine (NV) — Phase 1 construction,Lithium,"Thacker Pass: world-class sedimentary Li; GM US$650M investment; Phase 1 ~40,000 tpa LiOH; largest Li project North America by resource"
SLI,Standard Lithium,TSX.V,Canada,USA; Germany,Arkansas; Germany,Developer,SWA Li brine Arkansas (Lanxess JV); Tennessee refinery partnership,Lithium,"Lanxess JV Phase 1A ~30,000 tpa LCE; DLE technology; Equinor US$30M 2025 investment; European Li brine partnership (Vulcan)"
LAR,Lithium Argentina,TSX,Canada,Argentina,Jujuy; Salta,Producer/Developer,"Caucharí-Olaroz brine (prod. ~20,000 tpa LCE); Pastos Grandes (dev)",Lithium,Caucharí-Olaroz producing since 2023 with Ganfeng + JEMSE; Pastos Grandes 9.1 Mt LCE; wholly-owned post-LAC split
SGML,Sigma Lithium,NASDAQ,Canada,Brazil,Minas Gerais,Producer,Grota do Cirilo spodumene (MG Brazil); Phase 2 expansion underway,Lithium,"Grota do Cirilo 86 Mt resource; Phase 1 ~40,000 tpa LiOH equiv; Phase 2 underway; green lithium brand; direct shipping ore strategy"
PMET,Patriot Battery Metals,TSX,Canada,Canada,Quebec,Explorer/Developer,Corvette (Shaakichiuwaanaan) Li spodumene James Bay QC; CV5 + CV13,Lithium,CV5: 109.2 Mt @ 1.42% Li2O M+I — largest hard rock Li resource in Americas; Rio Tinto C$109M strategic investment + earn-in up to 17.4%
LTH,Lithium Ionic,TSX,Canada,Brazil,Minas Gerais,Producer/Developer,Bandeira + Itinga spodumene (MG Brazil); Salinas project,Lithium,Minas Gerais Li triangle; multiple pegmatite fields; 60+ km pegmatite; producing/near-production hard rock Brazil
FL,Frontier Lithium,TSX.V,Canada,Canada,Ontario,Developer,PAK Li spodumene (ON); Spark pegmatite (ON),Lithium,PAK: 50.4 Mt @ 2.08% Li2O Indicated — highest-grade large spodumene in North America; PEA complete; Ontario government strategic mineral
PLL,Piedmont Lithium,NASDAQ,USA,USA; Ghana; Canada,North Carolina; Ghana; Quebec,Developer,Ewoyaa spodumene Ghana (50% JV); Tennessee Li hydroxide plant; Carolina NC spodumene,Lithium,Ewoyaa Ghana: large West Africa resource (50%); Tennessee Li refinery under development; Tesla offtake (historical); Carolina spodumene restart FS
ATLX,Atlas Lithium,NASDAQ,USA,Brazil,Minas Gerais,Developer,Neves spodumene (MG Brazil); multiple pegmatite concessions,Lithium,Neves district: 103 km² Minas Gerais Li triangle; modular DMS plant strategy; strategic investors; significant drill results 2024-2025
LITH,Lithium Chile,TSX.V,Canada,Chile,Atacama; Antofagasta,Explorer,Salar de Turi (4.3 Mt LCE resource); Coipasa brine; 20+ salars portfolio Chile,Lithium,20+ salars in Chile; Salar de Turi flagship; Coipasa Bolivia border; DLE testing underway; large Chilean brine land position
LIRC,Lithium Royalty,TSX,Canada,Multiple,Global,Royalty,"Portfolio: 30+ Li royalties — Grota do Cirilo, Whabouchi, Corvette + 27 others",Lithium,Only pure-play Li royalty company globally; hard rock + brine; trades at discount to NAV; growing global portfolio; no capex exposure
ABAT,American Battery Technology,NASDAQ,USA,USA,Nevada,Developer/Tech,Tonopah Li brine NV (4.1 Blb LCE); battery recycling facility Nevada,Lithium,Tonopah Li brine: large resource; DLE pilot; DOE US$57.5M grant (battery recycling); dual revenue streams Li extraction + battery recycling
LIFT,Li-FT Power,TSX.V,Canada,Canada,NWT; Quebec,Explorer,Yellowknife Li district NWT (Cali 66 Mt @1.00% Li2O Inferred); QC targets,Lithium,Yellowknife: 12+ pegmatites over 150km trend; Cali flagship; NWT spodumene district; winter drilling active
